Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Jerry Christensen,20274691,Female,International,A grade,Master of Applied IT,Database or Data Analytics,Networking,"Tuatahi First Fibre, Waikato Regional Council, Hospital",GIG - Internal client based projects,Classroom project,Available,2024 S1,12/09/2001,
Johnny Nguyen,20263904,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Mobile app development, Networking, Game development, Software testing","CTEK, Blackout Games",Internal client internship/project,Internship,Available,2024 S1,9/01/1996,
David Ramirez,20278139,Female,International,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"Software testing, Mobile app development, Database","Other, Datacom, HCC - Hamilton City Council",Design Factory,Design Factory,Available,2024 S1,16/03/1998,
Kellie Lee,20231635,Male,International,A grade,Master of Applied IT,Database or Data Analytics,"Database, Data analytics, System support – help desk, Business analysis","CTEK, Waikato Regional Council",Internal client internship/project,Industry project,Available,2024 S2,19/08/2002,
Peter Vaughn DDS,20264332,Female,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,"API development, Data analytics, Networking, Mobile app development, Project management",Fonterra,Design Factory,Internal client internship/project,Placed,2020 S1,20/01/2004,16/02/2024
Anna Walker,20290673,Female,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Database, Project management","Datacom, Hospital, HCC - Hamilton City Council, Gallagher",Design Factory,GIG - Internal client based projects,For Review,2021 S2,30/01/1997,
Kevin Kennedy,20269588,Female,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Game development, Database","Enlighten Design, Other, Gallagher, Datacom",Design Factory,Industry project,Placed,2022 S2,2/07/2000,16/07/2024
Patrick Rivera,20292124,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Mobile app development, Project management, UX/UI design, Software testing, API development","HCC - Hamilton City Council, Other, IT Partners, Blackout Games",Internal client internship/project,Industry project,Available,2022 S1,29/03/2004,
David Martinez,20225242,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Software testing, UX/UI design, API development, Other, Security","Fonterra, CTEK, Datacom, IT Partners",Internship,Internal client internship/project,Placed,2020 S2,17/07/1999,15/07/2024
Joshua Gill,20224267,Female,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,"UX/UI design, API development, System support – help desk, Security, Business analysis","HCC - Hamilton City Council, Gallagher",GIG - Internal client based projects,Design Factory,For Review,2021 S2,28/04/1995,
John Hardy,20299641,Male,Domestic,B grade,Master of Applied IT,Business Analysis or Project Management,Project management,"Gallagher, Blackout Games",Industry project,Classroom project,Placed,2023 S2,27/08/2006,21/07/2024
Veronica Wall,20238829,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,Project management,"Blackout Games, Enlighten Design",GIG - Internal client based projects,Internship,For Review,2023 S1,18/07/1996,
Eric Erickson,20216591,Male,Domestic,B grade,Bachelor of Applied IT,Database or Data Analytics,Networking,"Waikato Regional Council, Other, LIC",Internal client internship/project,Internal client internship/project,Available,2024 S1,20/02/1998,
Anthony Carter,20216551,Female,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Software testing, Security","Datacom, Enlighten Design, Tuatahi First Fibre",GIG - Internal client based projects,Internal client internship/project,Placed,2021 S1,4/07/2005,24/02/2024
Adam Mitchell,20262746,Female,Domestic,C grade,Master of Applied IT,Software Engineering,"Business analysis, Project management","Fonterra, Blackout Games, CTEK, LIC",Classroom project,GIG - Internal client based projects,For Review,2021 S1,16/10/2003,
Vincent King,20262616,Female,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,"Web development, Data analytics, API development, Mobile app development","Waikato Regional Council, Enlighten Design, Other",Internship,Internal client internship/project,Placed,2022 S2,7/09/1992,8/07/2024
Jennifer Jones,20282502,Male,International,B grade,Postgraduate Diploma in Applied IT,Software Engineering,"Project management, Database, UX/UI design, API development",Hospital,Internal client internship/project,Internal client internship/project,Placed,2021 S2,18/08/1990,5/07/2024
Robert Avery,20211164,Female,International,B grade,Master of Applied IT,Database or Data Analytics,"UX/UI design, Database, Data analytics, Software testing","Other, HCC - Hamilton City Council",GIG - Internal client based projects,Design Factory,For Review,2024 S1,1/04/1997,
Phillip Obrien,20281057,Female,International,C grade,Bachelor of Applied IT,Network Engineering,"Database, Web development, Business analysis, Other, System support – help desk","CTEK, Blackout Games",Classroom project,Internship,Placed,2021 S2,25/06/1996,19/07/2024
Jamie Kerr,20238974,Female,International,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"System support – help desk, Database, Game development, Data analytics",Blackout Games,Classroom project,GIG - Internal client based projects,Available,2020 S1,25/05/2003,
Marc Lynch,20297004,Female,International,C grade,Bachelor of Applied IT,Network Engineering,Game development,"Enlighten Design, LIC, Blackout Games",Internship,Internship,Available,2020 S1,7/03/1992,
Christine Clark,20286563,Female,International,A grade,Master of Applied IT,Business Analysis or Project Management,"Game development, Data analytics, Other","LIC, Hospital, Enlighten Design, Blackout Games",Industry project,GIG - Internal client based projects,Available,2020 S2,26/07/1991,
Christopher Jones,20200350,Female,International,C grade,Bachelor of Applied IT,Network Engineering,API development,"Hospital, Enlighten Design, Blackout Games, Fonterra",Design Factory,Classroom project,For Review,2021 S2,14/09/2002,
Kirk Carter,20230340,Female,International,B grade,Bachelor of Applied IT,Network Engineering,Software testing,"Waikato Regional Council, Gallagher, HCC - Hamilton City Council, Hospital",Internship,Internship,Placed,2020 S1,10/08/1998,20/02/2024
Michele Gibson,20290096,Male,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Web development, Database, Other, Networking","Blackout Games, IT Partners",Industry project,GIG - Internal client based projects,Placed,2022 S2,29/09/1996,20/07/2024
Rachel Weber,20286662,Female,International,B grade,Bachelor of Applied IT,Software Engineering,"API development, Other, Networking, Database","Hospital, Other",Classroom project,Design Factory,Available,2020 S1,15/07/1995,
Joshua Holland,20234816,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"API development, Game development","Other, Blackout Games",Classroom project,Industry project,For Review,2022 S1,23/08/1993,
Christopher Parker,20298167,Male,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"Database, Other, System support – help desk, Game development","IT Partners, HCC - Hamilton City Council",Internal client internship/project,GIG - Internal client based projects,For Review,2023 S2,16/08/1998,
John Torres,20252757,Male,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Business analysis, Networking, Security, Web development, Other","Tuatahi First Fibre, HCC - Hamilton City Council",Internal client internship/project,Internal client internship/project,For Review,2021 S2,25/01/1998,
Katherine Miller,20205224,Male,Domestic,A grade,Master of Applied IT,Software Engineering,"Web development, Database, Mobile app development, API development","Tuatahi First Fibre, Blackout Games, Hospital, CTEK",Internal client internship/project,Internal client internship/project,Available,2024 S1,4/07/2003,
Lindsey Johnson,20230005,Female,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Mobile app development, Other","Gallagher, Waikato Regional Council, HCC - Hamilton City Council, Datacom",Internship,Internal client internship/project,Placed,2024 S2,5/07/1989,24/07/2024
Miss Debra Williams PhD,20261669,Female,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,"Game development, Business analysis","Tuatahi First Fibre, Blackout Games",GIG - Internal client based projects,GIG - Internal client based projects,Available,2022 S1,18/06/2006,
Sydney White,20276720,Female,Domestic,A grade,Master of Applied IT,Database or Data Analytics,"System support – help desk, UX/UI design","Datacom, Blackout Games, Hospital, Gallagher",Design Factory,Internship,For Review,2020 S1,20/08/2003,
Katherine Davis,20245607,Female,International,C grade,Bachelor of Applied IT,Network Engineering,"Networking, Web development","CTEK, Gallagher, Waikato Regional Council, Hospital",Classroom project,GIG - Internal client based projects,Available,2020 S1,12/09/2002,
Michael Hodge,20243228,Female,International,A grade,Master of Applied IT,Database or Data Analytics,"API development, Networking, Database, Project management, Game development","LIC, Other",Design Factory,Industry project,For Review,2021 S2,23/10/2002,
Donna Landry,20299680,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Game development, Data analytics, Business analysis","Enlighten Design, HCC - Hamilton City Council",Internal client internship/project,GIG - Internal client based projects,For Review,2020 S1,20/01/1990,
Ernest Morris,20252976,Female,Domestic,B grade,Master of Applied IT,Business Analysis or Project Management,Project management,Enlighten Design,Industry project,Internship,Available,2023 S1,25/04/2006,
April Booth,20260552,Female,International,C grade,Bachelor of Applied IT,Software Engineering,"Other, UX/UI design","IT Partners, Gallagher, LIC, Other",Design Factory,Design Factory,Placed,2020 S1,12/11/2002,28/02/2024
Joseph Dean,20265338,Female,International,A grade,Master of Applied IT,Software Engineering,"Security, API development, System support – help desk, Business analysis","Waikato Regional Council, Fonterra",GIG - Internal client based projects,Design Factory,Available,2023 S1,5/11/2003,
Christina Dunn,20237752,Male,International,C grade,Master of Applied IT,Database or Data Analytics,Security,"HCC - Hamilton City Council, LIC, CTEK, Waikato Regional Council",Design Factory,Design Factory,Available,2022 S2,17/09/2003,
Kari Johnson,20282578,Female,Domestic,B grade,Bachelor of Applied IT,Database or Data Analytics,"Game development, Other, System support – help desk, Project management, Business analysis","LIC, Waikato Regional Council, IT Partners, HCC - Hamilton City Council",GIG - Internal client based projects,Internship,For Review,2022 S1,11/12/1996,
Emily Smith,20253476,Female,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Security, Other, Networking","Tuatahi First Fibre, CTEK, IT Partners",Internship,Industry project,For Review,2021 S1,23/12/1991,
Ryan Wilson,20215396,Female,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"Database, Security, Business analysis","Fonterra, Gallagher, IT Partners",Classroom project,Classroom project,For Review,2024 S1,16/01/1994,
Dr. Jordan Hill PhD,20261894,Male,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,"API development, Data analytics, System support – help desk",Datacom,Classroom project,Internal client internship/project,Available,2022 S1,4/02/1997,
Charles Lee,20278561,Male,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Business analysis, Web development, Data analytics, Security, System support – help desk","Gallagher, Fonterra, CTEK",Design Factory,Classroom project,Available,2023 S2,5/02/2006,
